community
"['2362', '30008']"
"['39072', '54714']"
"['712', '34520']"
"['24487', '43076']"
"['37316', '57398']"
"['45819', '47955']"
"['5340', '21372']"
"['58434', '44457']"
"['16378', '27104']"
"['17412', '18088']"
"['37216', '1289']"
"['50236', '56370']"
"['52426', '10210']"
"['33564', '2902']"
"['37616', '55315']"
"['51728', '43094']"
"['48663', '55127']"
"['34692', '8346']"
"['45271', '5314']"
"['9037', '37055']"
"['42740', '13476']"
"['23595', '38031']"
"['45473', '32469']"
"['7168', '40813']"
"['41547', '32507']"
"['50991', '36321']"
"['51690', '14044']"
"['22043', '13256']"
"['15795', '17492']"
"['58442', '210']"
"['17085', '27674']"
"['38904', '4510']"
"['41065', '27822']"
"['1643', '44975']"
"['49135', '24178']"
"['7105', '24341']"
"['3438', '49872']"
"['31545', '15090']"
"['6223', '54981']"
"['9571', '36914']"
"['37105', '34951']"
"['9287', '5399']"
"['47702', '40436']"
"['34185', '17280']"
"['18592', '31687']"
"['31753', '38282']"
"['25467', '21506']"
"['20378', '52107']"
"['2932', '12181']"
"['22580', '41876']"
"['43268', '38238']"
"['44032', '19293']"
"['25047', '29849']"
"['16616', '2339']"
"['8501', '12122']"
"['31857', '48551']"
"['40128', '12655']"
"['25672', '4390']"
"['36374', '54279']"
"['32008', '28129']"
"['53813', '42909']"
"['44943', '1226']"
"['36703', '1832']"
"['13252', '43210']"
"['53835', '11223']"
"['47461', '25385']"
"['17097', '22584']"
"['13905', '36852']"
"['53445', '6929']"
"['32481', '11416']"
"['31052', '28617']"
"['26267', '54031']"
"['55793', '13961']"
"['8986', '50039']"
"['43764', '46402']"
"['1449', '5698']"
"['16064', '57897']"
"['14368', '18348']"
"['21111', '19983']"
"['17457', '21295']"
"['42657', '41596']"
"['10063', '49609']"
"['13122', '32837']"
"['27156', '25089']"
"['56455', '46363']"
"['16398', '15657']"
"['50707', '54346']"
"['32991', '17998']"
"['21317', '34604']"
"['32589', '9967']"
"['27208', '38050']"
"['54332', '23935']"
"['48657', '45755']"
"['1403', '40990']"
"['49406', '17129']"
"['1367', '41576']"
"['35012', '4138']"
"['27604', '9331']"
"['5186', '18183']"
"['33841', '54859']"
"['30089', '6241']"
"['10040', '5836']"
"['19513', '13820']"
"['15747', '25779']"
"['45279', '24368']"
"['56269', '16608']"
"['48984', '32165']"
"['15246', '43019']"
"['55818', '3254']"
"['21845', '49690']"
"['8988', '47181']"
"['11126', '37093']"
"['44323', '24039']"
"['9483', '13282']"
"['22958', '55339']"
"['679', '19185']"
"['24405', '13774']"
"['45308', '24441']"
"['18116', '42302']"
"['3061', '14270']"
"['37212', '37188']"
"['12785', '48718']"
"['32351', '19990']"
"['5732', '58102']"
"['28664', '54744']"
"['43058', '38198']"
"['44668', '8003']"
"['9982', '48450']"
"['52798', '55244']"
"['32122', '24283']"
"['20346', '8338']"
"['3969', '43547']"
"['16681', '37242']"
"['10292', '38407']"
"['35998', '14594']"
"['19374', '37915']"
"['46315', '16192']"
"['58545', '275']"
"['25022', '29043']"
"['45595', '42886']"
"['31462', '3408']"
"['10512', '41689']"
"['45309', '49690']"
"['31445', '46175']"
"['51746', '38866']"
"['56551', '41793']"
"['5098', '11372']"
"['16722', '52094']"
"['21758', '58456']"
"['58640', '51260']"
"['49281', '57069']"
