node1,node2
168,['6']
232,['208']
243,"['11', '168']"
248,['29']
264,['168']
267,['170']
328,['130']
339,['212']
366,['264']
400,['82']
421,['278']
510,"['40', '366']"
535,['336']
557,"['41', '548']"
563,['138']
621,['39']
695,['17']
700,['305']
713,['672']
717,['543']
740,['567']
741,['111']
758,['533']
775,"['609', '600']"
779,['276']
814,['262']
826,['33']
858,['760']
863,['705']
869,['147']
871,['187']
877,['312']
886,['126']
892,['424']
897,['387']
923,['35']
940,['881']
976,['241']
1012,['739']
1015,['114']
1028,['195']
1033,['469']
1063,['258']
1065,['772']
1072,['109']
1074,['248']
1085,['1068']
1093,['637']
1102,"['772', '1016']"
1114,['935']
1121,['952']
1150,['582']
1172,['502']
1185,['35']
1199,['1156']
1200,['518']
1212,['1072']
1229,['1215']
1243,['48']
1251,['244']
1253,['721']
1263,['711']
1288,['100']
1303,['1289']
1310,['227']
1333,['1028']
1344,['833']
1358,['926']
1385,['1382']
1393,['157']
1394,['483']
1407,['702']
1419,['185']
1420,['508']
1433,['1085']
1438,['167']
1456,['1131']
1458,['714']
1466,['302']
1474,['79']
1479,"['1232', '1225']"
1492,['123']
1526,['1070']
1545,['630']
1550,['1395']
1552,['293']
1561,['794']
1596,"['929', '964']"
1605,['815']
1632,['1227']
1657,['115']
1660,"['940', '690']"
1700,['409']
1712,['1382']
1713,['275']
1717,['376']
1727,['1560']
1733,['1475']
1745,['1019']
1775,['1200']
1780,['146']
1787,"['227', '477']"
1790,['1420']
1791,['1479']
1795,['971']
1804,['1683']
1814,['415']
1817,['252']
1819,['922']
1830,['1395']
1838,['1610']
1842,['80']
1847,['1175']
1878,['115']
1880,['1108']
1900,['1652']
1932,['673']
1933,['251']
1934,['1407']
1937,"['1525', '1513']"
1942,['171']
1954,['1369']
1971,['373']
1994,['1388']
2015,['373']
2037,['1660']
2039,['1501']
2069,['1733']
2073,['77']
2079,['630']
2082,['475']
2084,['242']
2090,['851']
2091,['300']
2106,['1718']
2123,['1555']
2137,['1826']
2141,['1239']
2174,['361']
2199,['1937']
2205,['2164']
2223,['209']
2249,['476']
2256,['2180']
2263,['63']
2264,['1145']
2266,['886']
2269,['1527']
2270,['926']
2288,['481']
2292,['458']
2299,['1278']
2301,['1236']
2305,['617']
2313,['2215']
2316,['830']
2319,['265']
2334,['1034']
2340,['2152']
2341,"['391', '1909']"
2351,['2163']
2353,['1654']
2358,['112']
2360,"['1374', '1982']"
2364,['1057']
2370,['1325']
2371,['102']
2373,['445']
2383,"['1383', '1753']"
2396,"['288', '99']"
2397,['450']
2423,['1709']
2427,['1902']
2435,['2285']
2442,['986']
2451,['1982']
2455,['941']
2457,"['954', '2125']"
2468,['882']
2472,['1000']
2483,['1994']
2488,['1624']
2496,['715']
2500,['264']
2501,['1965']
2510,['519']
2520,['884']
2538,['1909']
2539,['2271']
2548,['276']
2550,['205']
2563,['2089']
2565,['854']
2568,['1544']
2574,['1142']
2597,['586']
2610,['2353']
2613,['769']
2630,['1556']
2643,['2189']
2645,['2410']
2649,['1698']
2657,['111']
2660,"['2097', '1309']"
2662,['2573']
2663,['1236']
2670,['1001']
2674,['416']
2676,['2035']
2680,['1902']
2692,['797']
2695,['2368']
2697,['1458']
2698,"['1813', '1494']"
2700,['2317']
2702,['1747']
2705,"['2356', '136']"
2716,"['843', '2231']"
2722,['1074']
2726,['1784']
2729,['1604']
2750,['982']
2752,"['264', '1046']"
2758,['576']
2762,['255']
2768,"['1583', '326']"
2775,['2214']
2780,['563']
2809,['2039']
2815,"['504', '2654']"
2819,['1810']
2831,['2359']
2839,['826']
2843,['2820']
2851,"['2724', '1448']"
2857,['2644']
2864,['2581']
2866,['2310']
2867,['93']
2889,['432']
2890,['2075']
2907,['836']
2910,['1760']
2912,['2534']
2919,['1735']
2929,['2383']
2931,['780']
2933,['2578']
2944,['2439']
2946,['325']
2953,['1755']
2961,['833']
2969,['424']
2971,['621']
2972,['757']
2977,['1366']
2988,['1606']
2989,['2228']
2997,['1156']
3002,['2417']
3003,"['2602', '1327']"
3013,"['1586', '169']"
3021,['877']
3023,['1910']
3031,['2170']
3055,['715']
3075,['2928']
3082,['2815']
3083,['1154']
3089,['3017']
3092,['1599']
3103,['2171']
3105,['2140']
3119,['897']
3123,['2036']
3132,['537']
3141,"['395', '2726']"
3142,['1692']
3145,['424']
3147,['325']
3151,['2560']
3153,['1526']
3156,['1049']
3159,['2200']
3165,['2428']
3170,['1142']
3171,['786']
3174,['2634']
3175,['1367']
3179,['3141']
3186,['2215']
3189,['2259']
3191,['1237']
3197,['25']
3198,['1102']
3202,['839']
3205,['2385']
3217,['268']
3237,['2916']
3238,['1589']
3239,['3087']
3240,"['9', '3005']"
3241,['3102']
3243,['2238']
3244,['1525']
3246,['2901']
3248,['1905']
3254,['1224']
3257,['1124']
3260,['256']
3262,['2964']
3265,['411']
3268,['733']
3276,"['1871', '746']"
3288,"['2502', '1828']"
3290,['3257']
3299,['2166']
3305,['554']
3311,['50']
3313,['2357']
3320,['1109']
3321,['2148']
3324,['1869']
3330,['3134']
3336,['2967']
3337,['3260']
3338,['1783']
3348,['22']
3356,['3086']
3360,['28']
3366,['1491']
3371,"['2948', '2254']"
3381,['2468']
3384,['826']
3387,['2586']
3392,['1217']
3393,['2652']
3415,"['1893', '98']"
3424,['1988']
3430,['1906']
3431,"['2963', '1763']"
3442,"['3305', '59']"
3445,"['1656', '2504']"
3448,['2179']
3449,['2764']
3452,"['2748', '942']"
3455,['302']
3456,['2404']
3462,['1150']
3463,['1376']
3466,['2789']
3468,['2291']
3473,['2421']
3474,['1782']
3485,['342']
3487,['160']
3488,['1300']
3495,['2856']
3500,"['976', '3361']"
3501,"['3003', '2375']"
3515,['233']
3519,['2137']
3520,['2165']
3526,['3014']
3530,['3451']
3533,['272']
3537,['2546']
3540,['525']
3542,['2180']
3552,['799']
3553,['625']
3555,['1021']
3557,['3031']
3561,['3502']
3574,['1204']
3589,['1698']
3591,['1547']
3593,['3420']
3596,"['1038', '1573']"
3604,['2806']
3607,['1949']
3613,['3063']
3615,['2813']
3616,['3554']
3626,['738']
3635,['3040']
3644,['3428']
3655,['341']
3658,['2689']
3662,['3552']
3665,['1905']
3668,['258']
3673,['3209']
3676,['2665']
3681,['1076']
3689,['758']
3697,['3507']
3700,['826']
3704,"['3423', '1154']"
3709,['1394']
3712,['337']
3720,"['3546', '1887', '840']"
3721,['3645']
3728,['710']
3748,['1548']
3759,['3515']
3760,['1814']
3763,['1511']
3768,['3348']
3772,['3215']
3780,"['1578', '2556']"
3789,['2589']
3803,['2931']
3808,"['3399', '799']"
3815,['3383']
3820,['3174']
3826,['1850']
3827,['1825']
3829,['1229']
3832,"['629', '792']"
3842,['3191']
3856,['3190']
3870,['1754']
3874,['3061']
3876,['3590']
3878,['2305']
3880,['1518']
3897,"['613', '3184', '1165']"
3898,['872']
3903,['2171']
3905,['3537']
3909,['2496']
3913,['3086']
3914,['3853']
3923,['3680']
3928,['2906']
3929,['261']
3931,['1661']
3935,['797']
3939,['213']
3944,['1404']
3947,['1608']
3949,['3441']
3952,['716']
3953,['2681']
3956,"['542', '1071']"
3957,['2419']
3958,"['1586', '3284']"
3961,['1962']
3962,['547']
3963,['1253']
3966,['931']
3988,"['1913', '2727']"
3992,['1616']
3997,['3212']
3999,['3051']
4001,"['3722', '517']"
4002,['3423']
4009,['2452']
4019,['2128']
4020,"['1942', '1352']"
4021,['2499']
4025,['1005']
4031,['3448']
4045,['3209']
4047,['629']
4049,['848']
4060,['686']
4069,['828']
4074,['3836']
4076,['3088']
4086,['444']
4091,['710']
4095,"['1834', '2885']"
4100,['1631']
4119,['2548']
4120,['235']
4134,"['3173', '3842']"
4138,"['2629', '578']"
4139,['3958']
4140,['1738']
4144,"['380', '258', '245']"
4147,"['1886', '2108']"
4151,['852']
4152,['1589']
4157,['88']
4165,['1259']
4175,['66']
4176,['1698']
4178,['922']
4179,['1983']
4184,"['3856', '278', '4156']"
4190,"['2668', '1989']"
4191,['3185']
4196,['218']
4204,['3174']
4212,['3423']
4213,"['638', '3491']"
4215,['133']
4217,['3437']
4219,['2278']
4227,['1313']
4230,['1552']
4235,"['3869', '1083']"
4238,['1757']
4242,"['1618', '2410', '112']"
4244,['1821']
4245,['3466']
4246,['1820']
4250,"['4114', '3461']"
4258,['2436']
4260,['1762']
4262,['2557']
4263,['2006']
4265,['2489']
4266,['1858']
4270,['1988']
4271,['3604']
4283,"['2599', '169']"
4284,['1936']
4289,['2761']
4298,['3111']
4300,['859']
4303,['710']
4308,"['3587', '332']"
4315,['3841']
4324,['2203']
4328,['1468']
4329,"['2375', '3003']"
4337,['22']
4338,['2750']
4341,['1337']
4348,['2560']
4349,['997']
4350,['2314']
4353,['1385']
4354,['2843']
4355,['1968']
4370,['1255']
4376,['3825']
4381,"['1937', '3769', '946']"
4383,['2967']
4397,['11']
4401,['3021']
4404,['4343']
4405,"['4247', '1219', '4156']"
4410,['810']
4413,['2702']
4414,['1905']
4417,['3561']
4421,['1020']
4424,"['843', '1421']"
4427,['2862']
4428,"['71', '1217']"
4437,['2572']
4439,['1215']
4442,['1102']
4444,['3966']
4451,['1134']
4457,['4013']
4462,"['1268', '3228']"
4466,['4376']
4471,['2532']
4477,"['2327', '1823']"
4483,['2837']
4487,['2509']
4492,['1416']
4496,['2104']
4501,['2513']
4503,['2813']
4514,['63']
4521,"['2201', '2361']"
4529,['826']
4533,['652']
4535,['2615']
4536,['551']
4537,"['1606', '1998']"
4539,['4471']
4543,['510']
4548,['2384']
4554,"['1113', '2609']"
4556,['4306']
4558,['1154']
4559,"['773', '4497']"
4560,['1191']
4571,['2860']
4572,['2683']
4575,"['1983', '720', '430', '1566']"
4576,['785']
4581,"['3274', '587']"
4583,['4328']
4588,['4235']
4589,['3031']
4590,['2023']
4600,['2974']
4604,['2076']
4605,['2589']
4609,['1177']
4611,['2285']
4615,['4034']
4620,['2652']
4622,['1402']
4640,['4298']
4644,['2080']
4648,"['270', '4067']"
4649,['1618']
4651,['3001']
4654,['3340']
4658,['4246']
4662,['3803']
4667,['3391']
4668,"['2976', '1055']"
4670,['4051']
4672,['1226']
4681,['3107']
4684,['1518']
4685,['924']
4692,"['2712', '2054']"
4695,"['4269', '2241']"
4700,['750']
4701,['1385']
4704,['1792']
4714,['856']
4716,['130']
4718,['2131']
4719,"['3820', '615', '4204']"
4723,['2197']
4724,['3291']
4727,['3979']
4732,['670']
4734,['996']
4737,['2065']
4741,['1363']
4746,['2094']
4750,['1590']
4756,['3320']
4758,['277']
4764,['225']
4765,['3536']
4768,['4227']
4771,['2571']
4772,['2893']
4773,['1632']
4775,['4279']
4778,['4500']
4785,['252']
4788,['1205']
4794,['4061']
4802,['971']
4817,['260']
4818,['1750']
4820,['1136']
4822,['4673']
4831,['4301']
4835,['3306']
4839,['3479']
4844,['2652']
4845,['1569']
4846,['4146']
4847,"['497', '2403']"
4854,['609']
4855,['2119']
4856,['4703']
4859,['309']
4871,"['4251', '4264']"
4873,['1155']
4874,['3681']
4877,['4171']
4880,['4157']
4886,['1365']
4893,['4250']
4895,['689']
4896,['2780']
4897,['1253']
4898,['676']
4900,['4756']
4901,"['4778', '4456', '161']"
4905,['3272']
4909,"['3094', '1889']"
4911,['2330']
4915,['794']
4917,['4560']
4921,"['2167', '3081']"
4923,['4580']
4931,['4091']
4932,"['707', '4525']"
4933,['625']
4938,['3650']
4940,['107']
4959,['1022']
4960,"['3295', '3709']"
4962,"['4575', '2631']"
4968,['805']
4971,['2361']
4973,['1557']
4974,"['1186', '1090', '808', '87']"
4975,['1782']
4977,['922']
4979,['3041']
4981,['2593']
4982,['2217']
4985,['553']
4986,['2318']
4993,['2737']
4996,['3908']
4997,"['154', '1320']"
4999,['178']
5007,['247']
5008,['1802']
5010,['1288']
5014,"['1234', '2643']"
5018,['3762']
5019,['1880']
5020,['2061']
5022,"['1285', '3616']"
5023,['4125']
5028,['4488']
5029,['3965']
5034,['89']
5035,['1997']
5045,['2154']
5059,['1508']
5061,['4446']
5067,['1137']
5071,"['4971', '147']"
5079,['400']
5081,['1912']
5082,['2308']
5086,['506']
5090,['4462']
5091,"['1602', '2469', '1592']"
5092,['2572']
5095,['145']
5100,['3948']
5101,['313']
5109,['1097']
5115,"['2450', '1480']"
5118,['4093']
5119,['2859']
5125,['1155']
5126,"['4389', '1255', '1478', '4907']"
5128,['5109']
5134,['1446']
5154,['1681']
5169,"['788', '4847']"
5173,['2120']
5180,['1791']
5182,['4536']
5186,['1216']
5196,['3001']
5201,"['1955', '207']"
5204,['2092']
5208,['3587']
5209,['3044']
5216,['5126']
5217,"['1647', '2510']"
5223,['4219']
5226,['1927']
5227,['43']
5234,['3819']
5235,['5019']
5237,['192']
5240,['4367']
5246,"['637', '1735', '1741']"
5253,['4978']
5261,['352']
5262,['4279']
5269,"['207', '1142']"
5271,"['4523', '1542', '4998']"
5272,['2219']
5274,['2984']
5280,['992']
5284,"['5187', '4898']"
5289,['4088']
5290,"['4537', '5050']"
5298,['3078']
5301,['3165']
5303,['2831']
5305,['3604']
5309,"['3829', '2059', '3586', '741']"
5320,"['2058', '3112', '3163']"
5322,['3459']
5324,['2513']
5325,"['5068', '4287']"
5331,"['1210', '1652']"
5333,['2608']
5336,['406']
5338,"['1903', '773']"
5339,['4716']
5347,['3521']
5349,['2976']
5351,['4186']
5355,"['576', '447']"
5362,['1079']
5365,['4596']
5368,['2944']
5369,['520']
5371,"['1808', '3510']"
5374,"['2536', '3859']"
5375,"['3697', '2183', '1727']"
5379,['1908']
5382,['5191']
5385,['2709']
5386,['988']
5389,['4759']
5392,['1692']
5394,['3674']
5397,['3304']
5399,"['841', '2329']"
5401,['1638']
5406,"['3549', '2795']"
5409,['2573']
5410,['749']
5412,"['1114', '354']"
5418,['2683']
5421,['2613']
5422,['5074']
5423,['4862']
5427,['4965']
5428,['4320']
5429,['4400']
5430,['41']
5437,['4015']
5438,['180']
5439,['1045']
5441,['2088']
5457,['2593']
5460,['3201']
5467,"['2752', '1780']"
5468,['1511']
5469,['4308']
5470,"['3728', '4303']"
5474,"['643', '438']"
5480,['3946']
5484,['2403']
5493,['4454']
5498,['3498']
5499,['3141']
5502,['73']
5514,['1808']
5515,"['1949', '4616']"
5518,"['4563', '1456']"
5521,['3059']
5523,['3104']
5530,['4271']
5534,"['2850', '1328']"
5542,['5438']
5548,['353']
5550,['250']
5552,"['1039', '2752']"
5557,"['2906', '3197']"
5569,['37']
5571,['673']
5572,['5270']
5573,['2689']
5574,['1413']
5575,['4554']
5576,['679']
5578,['3102']
5579,['5119']
5584,['5469']
5585,"['4757', '3181']"
5587,['1626']
5588,['1691']
5590,['2124']
5593,['4765']
5595,['688']
5598,"['1210', '911', '4565']"
5599,['2792']
5604,"['629', '1217', '2873']"
5606,"['171', '3406']"
5607,"['3214', '5552']"
5608,['2000']
5609,['3408']
5610,['1871']
5612,['3172']
5614,['3245']
5620,"['3215', '4659']"
5621,['4203']
5624,['5493']
5626,"['465', '2223']"
5628,['3248']
5629,['1362']
5630,['2484']
5637,"['4408', '4169']"
5641,['894']
5644,"['2387', '666', '3528']"
5645,['468']
5649,['2782']
5651,['2275']
5652,['300']
5662,['1318']
5679,"['3856', '4376', '3060']"
5681,"['3021', '312']"
5685,['886']
5688,['4766']
5689,['4338']
5690,['276']
5691,"['4890', '1158']"
5698,['1449']
5699,['1309']
5704,['1755']
5707,['4965']
5708,['4938']
5711,['1097']
5717,['1900']
5719,['1891']
5721,['2217']
5723,['1841']
5724,"['1621', '129']"
5726,"['3050', '1407']"
5728,['4744']
5737,['2382']
5740,['825']
