node1,node2
162,['40']
213,['129']
229,['189']
313,['161']
325,['99']
338,['282']
343,['200']
371,['115']
449,['169']
450,['42']
467,['153']
497,['223']
529,['160']
538,['311']
548,['485']
568,['252']
571,['445']
609,['378']
634,['206']
646,['102']
649,['359']
650,['139']
655,['259']
690,['282']
741,['6']
810,['280']
827,['347']
836,['304']
853,['428']
857,['247']
871,['330']
941,['140']
942,['503']
954,['28']
960,['15']
969,['872']
992,['347']
1003,['693']
1023,['966']
1034,['767']
1055,['456']
1056,['530']
1059,['319']
1068,"['207', '808']"
1081,['972']
1099,['1081']
1146,['456']
1175,['588']
1181,"['280', '429']"
1189,['143']
1194,['17']
1204,['1016']
1207,['424']
1214,['401']
1218,['854']
1220,['752']
1251,['632']
1256,['299']
1271,['716']
1272,['314']
1273,['679']
1279,['1050']
1287,['878']
1290,['330']
1305,['838']
1313,['703']
1321,['456']
1327,['679']
1335,['785']
1339,['141']
1347,['680']
1382,['546']
1392,['1025']
1405,['1208']
1424,['450']
1437,['1001']
1445,['359']
1451,['385']
1475,"['984', '849']"
1477,['610']
1493,['680']
1505,['1078']
1513,['358']
1521,['1136']
1529,['604']
1540,"['1226', '1126']"
1542,['1377']
1559,['1414']
1566,['972']
1574,['695']
1580,['83']
1615,['1311']
1621,['682']
1624,['1183']
1625,['73']
1626,['1024']
1633,['162']
1654,['619']
1656,['1542']
1661,['260']
1674,['1226']
1676,['1610']
1687,['75']
1701,['122']
1706,['1222']
1733,['1555']
1740,['1390']
1743,['1473']
1747,['1423']
1752,['1289']
1767,['987']
1781,['373']
1784,['286']
1811,"['1493', '1347']"
1819,"['922', '1052']"
1824,['141']
1830,"['587', '1801']"
1837,"['1226', '1716']"
1840,['1473']
1847,"['129', '68']"
1862,['1072']
1865,['4']
1869,['1057']
1876,['1473']
1877,"['1432', '227']"
1881,['1778']
1884,['538']
1886,['741']
1888,['1780']
1902,['1826']
1907,['722']
1912,"['1837', '1540']"
1941,['1711']
1957,['69']
1958,['1325']
1960,['720']
1965,['965']
1968,['980']
1969,['1033']
1971,['1725']
1975,['1155']
1982,['1253']
1984,['532']
1990,['1498']
2006,['982']
2038,['30']
2039,['14']
2044,['1871']
2046,['1566']
2055,['632']
2063,"['1019', '182']"
2064,['1294']
2097,['267']
2100,['635']
2102,['1971']
2108,['2055']
2117,['650']
2131,['13']
2133,['1953']
2137,['1849']
2150,"['739', '880']"
2152,['1963']
2161,['1081']
2163,['405']
2165,['1655']
2170,['457']
2196,['2013']
2198,['1251']
2199,['1937']
2207,['1333']
2208,['1154']
2214,['1021']
2221,['2154']
2223,['1519']
2225,['1296']
2233,['735']
2234,['276']
2242,['101']
2249,['844']
2252,['1359']
2259,['139']
2262,['1097']
2264,['28']
2271,['486']
2274,['2051']
2286,['1189']
2289,['786']
2294,['1503']
2298,['2089']
2307,['1142']
2316,['82']
2317,"['1760', '742']"
2320,['1789']
2334,['1624']
2337,['86']
2351,['519']
2353,['1172']
2355,['1155']
2364,['857']
2371,['1171']
2376,['863']
2386,['440']
2393,['1974']
2394,['2056']
2412,['178']
2419,['358']
2420,"['1015', '1940']"
2429,['595']
2442,['356']
2447,['1146']
2448,['1074']
2461,['722']
2462,['2330']
2475,['1023']
2481,['15']
2483,"['1762', '187']"
2485,['97']
2490,['1571']
2504,['1542']
2513,['2112']
2539,['2005']
2541,['2056']
2544,['2467']
2564,['229']
2571,['1446']
2581,"['1020', '240']"
2586,['278']
2589,['1889']
2590,['2223']
2599,['2559']
2602,['162']
2603,['533']
2608,['1213']
2610,['619']
2614,['1276']
2624,['547']
2635,['643']
2636,['1853']
2642,['2314']
2643,['105']
2644,['329']
2645,['153']
2650,['2199']
2653,['888']
2657,['1886']
2658,"['2292', '2305']"
2664,"['0', '7']"
2665,['1662']
2670,['1953']
2678,['637']
2700,['2308']
2708,['1369']
2712,['2175']
2720,"['805', '2397']"
2730,['1871']
2732,['2449']
2737,['1011']
2746,['2710']
2749,['2180']
2750,['2108']
2762,['2272']
2767,['510']
2772,['35']
2775,['2295']
2782,['2601']
2810,['2337']
2831,['368']
2836,['1871']
2841,['358']
2842,"['2225', '1192']"
2853,['2065']
2865,['410']
2866,['950']
2867,['2680']
2869,['1876']
2876,['2082']
2878,['395']
2894,['870']
2895,['2001']
2903,['632']
2910,['1046']
2911,"['1519', '2590']"
2912,['2755']
2921,['2081']
2927,['495']
2932,['688']
2934,"['1610', '962']"
2943,"['2580', '2310']"
2946,['1334']
2966,['2193']
2976,['1855']
2982,['1959']
2983,['2064']
2989,['134']
2992,['2433']
2999,"['1277', '1122']"
3004,['69']
3007,['2384']
3015,['853']
3024,['2749']
3030,['477']
3037,['659']
3039,['222']
3040,['670']
3049,['1834']
3053,['392']
3058,['2403']
3060,['2301']
3061,['1296']
3062,"['866', '191']"
3072,['2210']
3079,['181']
3096,['729']
3097,"['1113', '2609']"
3101,['2869']
3106,['884']
3114,['463']
3127,['1023']
3141,['1925']
3147,['875']
3150,['3083']
3151,['2329']
3155,['1676']
3156,['2057']
3160,"['229', '116']"
3165,['2300']
3174,['1493']
3177,['510']
3181,['1510']
3184,"['1891', '1395', '2373']"
3189,['423']
3191,"['682', '2234']"
3195,['222']
3196,['1813']
3202,['917']
3206,['2463']
3209,['146']
3214,['2575']
3216,['2211']
3225,['287']
3226,['2796']
3234,['2010']
3238,['1626']
3240,['3229']
3250,['2039']
3255,['2650']
3258,['2748']
3260,['1734']
3262,['1267']
3279,"['712', '1249']"
3282,['924']
3287,['2533']
3291,['2692']
3294,['3063']
3296,['634']
3299,['3027']
3315,['2239']
3322,['2081']
3331,['724']
3336,['1633']
3343,"['164', '1855']"
3359,['0']
3363,['232']
3366,['1310']
3375,['1142']
3376,"['2534', '2749']"
3378,['1787']
3383,['2432']
3384,['1176']
3385,['3379']
3391,['385']
3393,['751']
3394,['1890']
3405,"['2492', '2894']"
3408,['2966']
3412,['1022']
3435,['1325']
3436,"['2903', '1251', '2055']"
3439,['1925']
3440,['3107']
3446,['414']
3448,['1587']
3449,['1131']
3453,['3272']
3454,['338']
3463,"['1657', '2961']"
3467,['942']
3468,['2892']
3469,['1377']
3470,['927']
3477,['1227']
3482,['3200']
3488,['1520']
3495,['2182']
3499,['642']
3501,['1077']
3502,['646']
3506,['3101']
3515,['2531']
3518,['1369']
3520,['1810']
3542,['1847']
3547,['1115']
3552,['64']
3559,['2449']
3563,['70']
3564,"['808', '265']"
3567,['1207']
3569,['414']
3573,['1197']
3577,['2528']
3578,['733']
3581,['3528']
3600,['325']
3601,['2214']
3602,['2754']
3610,['280']
3616,['3428']
3623,['73']
3630,['1975']
3631,"['1226', '1912', '1456']"
3632,['355']
3635,['1335']
3637,"['2269', '232']"
3645,['2187']
3648,['321']
3649,['2262']
3657,['2066']
3663,['1224']
3664,['683']
3665,['748']
3675,['154']
3677,['1574']
3680,['2956']
3686,['1574']
3699,"['1289', '3431']"
3704,['3328']
3712,"['2683', '983']"
3720,['179']
3725,"['2246', '3033']"
3728,['613']
3735,['333']
3736,['2505']
3738,"['336', '791']"
3742,['1597']
3746,['2961']
3747,['3466']
3749,['2387']
3750,['386']
3751,['2977']
3752,['2552']
3753,"['3373', '1530']"
3761,['2716']
3769,['177']
3772,"['1698', '82']"
3775,['1987']
3776,['896']
3780,['140']
3791,['745']
3792,['1473']
3803,"['2891', '716']"
3804,['2439']
3805,"['853', '267', '643']"
3811,"['3459', '3359']"
3812,"['1224', '2525']"
3820,['1251']
3825,['2438']
3830,['2405']
3831,['1026']
3834,['637']
3839,['3488']
3847,['1717']
3849,['3007']
3850,['1201']
3851,['2329']
3852,['73']
3864,['73']
3873,['3582']
3879,['1320']
3887,"['3409', '643', '1155']"
3892,['908']
3894,['1017']
3896,['2426']
3905,"['3887', '229']"
3906,['3752']
3914,['1284']
3922,['3024']
3923,['1358']
3925,['3543']
3932,['3736']
3933,['2575']
3937,['509']
3939,['3190']
3944,['440']
3948,"['1825', '634']"
3949,['1981']
3955,['616']
3956,['635']
3966,"['3842', '3932']"
3980,['1062']
3985,"['1214', '1032']"
3986,['3586']
3987,"['2001', '941', '3671']"
3988,['1596']
3992,['523']
3993,['2715']
3997,['3699']
4006,['3149']
4020,['1452']
4023,"['1610', '2638', '1873']"
4024,['1953']
4025,['1173']
4028,['1947']
4034,['3327']
4035,['2452']
4038,['1466']
4042,['1982']
4051,"['287', '1130']"
4056,"['4034', '3263']"
4061,['3001']
4068,"['3729', '3564']"
4070,"['2741', '1041']"
4073,"['961', '2724']"
4091,"['1552', '3484', '3560']"
4098,['2078']
4115,"['1840', '1466']"
4116,['2089']
4121,['1963']
4124,['2064']
4125,"['602', '347']"
4134,"['682', '3676']"
4143,['2200']
4144,['3366']
4150,['1990']
4153,['2898']
4157,['463']
4158,"['3098', '2108']"
4171,['623']
4175,['3098']
4176,['1638']
4178,['3199']
4179,['2730']
4180,['1773']
4182,"['3820', '1015', '2198']"
4184,['1552']
4191,['2713']
4195,['1186']
4196,['997']
4204,['1251']
4205,['1704']
4208,['376']
4211,['3114']
4214,['3497']
4217,['3738']
4219,['830']
4225,['3288']
4230,['2035']
4242,['2502']
4243,['2461']
4244,['1334']
4245,['38']
4256,"['2737', '3739']"
4259,['951']
4261,['4109']
4275,['2066']
4277,['4146']
4280,['342']
4290,"['1975', '2346']"
4293,['3990']
4295,['2001']
4298,['961']
4303,['3184']
4305,"['3320', '2287']"
4307,['1502']
4308,"['2198', '1015']"
4309,"['133', '3992']"
4312,['1285']
4325,['347']
4327,['991']
4328,['2492']
4330,['902']
4332,"['2199', '313', '3255']"
4333,['1471']
4335,['1929']
4336,['1273']
4338,['1793']
4341,['4031']
4349,['3371']
4359,['2764']
4360,"['366', '3685']"
4361,['2761']
4366,['658']
4370,['1886']
4373,['2058']
4376,['3589']
4385,['1560']
4387,['1746']
4389,['3378']
4395,['1267']
4403,['4336']
4405,['3640']
4406,['333']
4412,['470']
4413,"['3196', '2082']"
4421,['1219']
4423,['1470']
4424,"['565', '3782']"
4425,['315']
4428,"['1005', '2293']"
4430,['3496']
4433,['1654']
4442,['1204']
4448,"['2694', '689']"
4454,['1688']
4455,['3429']
4460,['1033']
4462,['4184']
4473,['2432']
4475,['1651']
4477,['449']
4505,['2108']
4507,['98']
4526,['1893']
4529,['1180']
4533,['1561']
4539,['3255']
4540,['3362']
4544,['1745']
4547,['3058']
4548,['1990']
4549,"['2792', '1972']"
4550,['61']
4552,['721']
4556,['2786']
4557,['4262']
4563,"['3216', '3789']"
4566,['212']
4567,['3315']
4571,"['1930', '1889', '1775']"
4574,['523']
4575,['2730']
4581,['3649']
4584,"['401', '3985', '3573']"
4588,['2583']
4594,['2318']
4599,['1304']
4601,['4055']
4603,['4275']
4604,['3932']
4608,['3533']
4610,['3999']
4612,['649']
4614,['1784']
4624,['3134']
4640,['4587']
4642,['2398']
4644,['2977']
4649,['2433']
4650,"['3997', '1289']"
4651,"['652', '4456']"
4659,['955']
4666,['1661']
4668,['702']
4674,['3115']
4677,['1750']
4688,['1506']
4693,['793']
4695,['415']
4702,['365']
4709,['4548']
4718,['1632']
4722,['4327']
4728,['505']
4731,"['2037', '1964']"
4734,"['3350', '2940']"
4735,['2064']
4736,['1433']
4740,['1953']
4744,"['1142', '3856']"
4747,['1025']
4753,['3624']
4757,['840']
4759,['2544']
4760,['1767']
4787,['3115']
4790,['3439']
4792,"['872', '2327']"
4793,['788']
4795,['396']
4797,['3949']
4801,"['2730', '245', '2044']"
4802,['1547']
4807,['4580']
4809,['3263']
4820,"['1495', '2998']"
4822,['3716']
4826,['1843']
4832,['772']
4835,['1310']
4838,['754']
4844,['682']
4850,"['2657', '26']"
4855,['3931']
4856,"['3098', '4644']"
4859,"['2643', '3037']"
4862,['3317']
4863,['300']
4866,['3966']
4871,['2183']
4873,['1559']
4877,['2680']
4884,"['3999', '4685']"
4885,['3657']
4889,['278']
4890,['4628']
4897,['248']
4905,['1169']
4910,['3993']
4912,['2442']
4916,['1279']
4918,['3473']
4921,['878']
4923,['243']
4924,['2679']
4926,['4457']
4930,['2992']
4935,['2836']
4936,['725']
4947,['1779']
4952,"['598', '3685']"
