community
"['55662', '35197']"
"['16255', '13547']"
"['14543', '4024']"
"['49992', '32634']"
"['31667', '33801']"
"['44555', '14515']"
"['37225', '30691']"
"['14882', '25909']"
"['32597', '38053']"
"['5425', '42196']"
"['54102', '14012']"
"['26268', '6803']"
"['21648', '55486']"
"['15738', '56809']"
"['20301', '643']"
"['53594', '22086']"
"['38455', '51223']"
"['14741', '55757']"
"['35796', '51134']"
"['21521', '49738']"
"['57996', '18586']"
"['19908', '28544']"
"['32172', '58465']"
"['1521', '50831']"
"['14774', '47090']"
"['57146', '28013']"
"['19911', '39339']"
"['35550', '45576']"
"['57402', '38130']"
"['9953', '1849']"
"['23825', '15596']"
"['6444', '24897']"
"['3093', '56020']"
"['53327', '13768']"
"['36355', '16746']"
"['21535', '3480']"
"['34240', '38765']"
"['22128', '35414']"
"['17343', '18082']"
"['48910', '20602']"
"['24300', '12665']"
"['13285', '16546']"
"['47601', '52203']"
"['6178', '9975']"
"['12138', '49851']"
"['21952', '31807']"
"['6098', '48111']"
"['41664', '53280']"
"['18243', '58215']"
"['45092', '8661']"
"['40175', '5177']"
"['8083', '34167']"
"['39604', '49723']"
"['23188', '56863']"
"['6877', '40045']"
"['31686', '15997']"
"['58031', '50292']"
"['7522', '56513']"
"['33142', '6356']"
"['23974', '3903']"
"['29383', '18139']"
"['31690', '52088']"
"['57261', '24516']"
"['39310', '54159']"
"['33287', '54734']"
"['3130', '13903']"
"['22559', '7132']"
"['11971', '31363']"
"['10892', '56925']"
"['19783', '14671']"
"['24113', '41508']"
"['18442', '52466']"
"['53385', '32489']"
"['19482', '25672']"
"['9557', '20409']"
"['6353', '30176']"
"['53637', '10075']"
"['18386', '38707']"
"['29612', '58614']"
"['39916', '23013']"
"['27370', '27679']"
"['17461', '1845']"
"['45074', '2589']"
"['39048', '10704']"
"['19762', '44369']"
"['53094', '35739']"
"['14176', '45397']"
"['30832', '20235']"
"['6381', '11012']"
"['27995', '16554']"
"['42635', '17856']"
"['39723', '49040']"
"['51040', '29847']"
"['57444', '36984']"
"['22119', '19118']"
"['26817', '38718']"
"['21989', '51569']"
"['21105', '21120']"
"['45508', '3836']"
"['9453', '48574']"
"['9707', '24994']"
"['31728', '37775']"
"['7885', '49504']"
"['14127', '28163']"
"['9959', '48']"
"['45565', '19181']"
"['41907', '47393']"
"['12333', '17144']"
"['9069', '7662']"
"['10013', '41543']"
"['49311', '9381']"
"['4287', '22823']"
"['22610', '14366']"
"['27903', '45355']"
"['9941', '6289']"
"['55005', '41783']"
"['4217', '19384']"
"['46989', '50152']"
"['2782', '36870']"
"['38322', '23069']"
"['48064', '440']"
"['58621', '5352']"
"['50416', '19391']"
"['53725', '31679']"
"['27414', '48872']"
"['37851', '21123']"
"['21032', '37493']"
"['32184', '29212']"
"['50762', '48761']"
"['19253', '43614']"
"['58038', '13885']"
"['48140', '47595']"
"['49661', '13589']"
"['43256', '47840']"
"['23981', '27889']"
"['40784', '4328']"
"['2689', '55308']"
"['5621', '40656']"
"['25565', '49507']"
"['40887', '56338']"
"['58199', '37915']"
"['25622', '24115']"
"['52231', '51858']"
"['29454', '14894']"
"['48187', '11816']"
"['11478', '5753']"
"['2037', '22381']"
"['20634', '42309']"
"['15069', '53627']"
"['24102', '49471']"
"['55744', '12091']"
"['29480', '10268']"
"['55201', '26740']"
"['27377', '2233']"
"['2053', '31001']"
"['8117', '16462']"
"['50495', '33819']"
"['48240', '26806']"
"['4537', '54840']"
"['53965', '46981']"
"['42590', '30898']"
"['12262', '38969']"
"['51064', '20444']"
"['25934', '13959']"
"['47475', '1015']"
"['58612', '35253']"
"['38678', '18422']"
"['51835', '22874']"
"['34726', '33664']"
"['24031', '36585']"
"['56323', '31735']"
"['55081', '37804']"
"['26522', '40647']"
"['21039', '10073']"
"['42449', '44386']"
"['23713', '51410']"
"['15936', '53898']"
"['9157', '38253']"
"['45610', '56327']"
"['34246', '50259']"
"['21875', '16406']"
"['23407', '42897']"
"['52743', '44894']"
"['25466', '23352']"
"['3701', '19086']"
"['11399', '55182']"
"['8316', '24916']"
"['49763', '10572']"
"['5111', '57823']"
"['31452', '15311']"
"['9355', '1226']"
"['6769', '29317']"
"['43338', '29847']"
"['9384', '21355']"
"['32961', '25125']"
"['46108', '42420']"
"['39295', '38931']"
"['17778', '8484']"
"['58294', '27039']"
"['12612', '13421']"
"['54593', '35068']"
"['11860', '17607']"
"['9305', '21111']"
"['4485', '57584']"
"['45605', '25606']"
"['27542', '41780']"
"['35089', '43271']"
"['8082', '22599']"
"['8896', '23217']"
"['43474', '18655']"
"['21683', '48407']"
"['30746', '5129']"
"['21298', '22232']"
"['29379', '38219']"
"['13820', '7098']"
"['51608', '39493']"
"['44621', '8624']"
"['38804', '52971']"
"['6670', '36547']"
"['18847', '53132']"
"['47741', '56144']"
"['26586', '36052']"
"['7818', '42436']"
"['9678', '26191']"
"['13312', '31319']"
"['13586', '8330']"
"['33971', '35602']"
"['16923', '4695']"
"['43027', '2815']"
"['48577', '12303']"
"['52256', '58069']"
"['46256', '2851']"
"['4749', '41071']"
"['18557', '11514']"
"['15582', '19645']"
"['17358', '5620']"
"['47581', '44777']"
"['24145', '16462']"
"['48344', '38425']"
"['10579', '35885']"
"['48855', '11080']"
"['44776', '48425']"
"['13170', '48551']"
"['37035', '52490']"
"['49910', '55477']"
"['21017', '3836']"
"['1667', '45355']"
"['2966', '2193']"
"['52637', '44227']"
"['4509', '56398']"
"['27589', '32841']"
"['3134', '9124']"
"['15320', '58577']"
"['47436', '54292']"
"['20752', '9543']"
"['11786', '32089']"
"['37272', '34589']"
"['2423', '1131']"
"['57480', '29557']"
"['11646', '37239']"
"['19594', '20300']"
"['2806', '6071']"
"['13522', '47429']"
"['3546', '16462']"
"['6582', '26384']"
"['11961', '38809']"
"['46926', '38088']"
"['5985', '55046']"
"['43658', '35274']"
"['37001', '32020']"
"['4903', '49690']"
"['20351', '2466']"
"['30170', '36941']"
"['35138', '11972']"
"['19153', '24827']"
"['20173', '13589']"
"['44726', '32669']"
"['26447', '12422']"
"['38478', '41020']"
"['17986', '40924']"
"['38454', '42310']"
"['48008', '55392']"
"['41176', '5985']"
"['54420', '15912']"
"['56269', '42335']"
"['34237', '56591']"
"['49749', '27541']"
"['23018', '52379']"
"['22332', '4884']"
"['152', '52673']"
"['3608', '12860']"
"['14767', '52759']"
"['14370', '28429']"
"['15823', '8059']"
"['51588', '56517']"
"['4174', '29199']"
"['559', '23163']"
"['26913', '8784']"
"['17667', '11474']"
"['25090', '14654']"
"['55636', '38889']"
"['43478', '44493']"
"['45312', '44225']"
"['29272', '1820']"
"['6453', '19421']"
"['17752', '16852']"
"['52706', '40265']"
"['50252', '3057']"
"['32446', '7492']"
"['23535', '52002']"
"['47894', '3749']"
"['48514', '8297']"
"['32737', '22445']"
"['14834', '5635']"
"['20946', '53026']"
